_id,continente,pais,poblacion,costo_bajo_hospedaje,costo_promedio_comida,costo_bajo_transporte,costo_promedio_entretenimiento
67e2130bc29aa80afae47e7f,África,Ruanda,12952218,7,17,17,45
67e2130bc29aa80afae47e80,África,Namibia,2540905,8,25,11,14
67e2130bc29aa80afae47e7a,África,Mozambique,31255435,9,41,9,32
67e2130bc29aa80afae47e7b,África,Camerún,26545863,9,18,26,43
67e2130bc29aa80afae47e7c,África,Angola,32866272,9,30,15,45
67e213cec29aa80afae47e96,Asia,Nepal,29136808,10,21,37,57
67e2130bc29aa80afae47e75,África,Tanzania,59734218,11,18,29,17
67e213cec29aa80afae47e93,Asia,Irán,83992949,11,53,37,26
67e2130bc29aa80afae47e79,África,Zambia,18383955,13,14,24,45
67e213cec29aa80afae47e85,Asia,Japón,126476461,14,17,42,23
67e21472c29aa80afae47e9a,América,Guatemala,17915568,14,72,35,63
67e2130bc29aa80afae47e73,África,Etiopía,114963588,16,12,21,28
67e2130bc29aa80afae47e78,África,Uganda,45741007,16,36,26,33
67e21472c29aa80afae47e9d,América,Costa Rica,5094118,16,31,14,35
67e21472c29aa80afae47ea6,América,Paraguay,7132530,16,68,19,21
67e21472c29aa80afae47ea4,América,Perú,32971854,16,63,48,56
67e213cec29aa80afae47e8d,Asia,Pakistán,220892340,16,25,26,60
67e2130bc29aa80afae47e77,África,Túnez,11818619,18,37,11,26
67e21472c29aa80afae47ea2,América,Venezuela,28435940,18,49,27,69
67e2130bc29aa80afae47e74,África,Ghana,31072940,19,31,23,25
67e213cec29aa80afae47e8a,Asia,Filipinas,109581078,19,44,32,25
67e2130bc29aa80afae47e71,África,Marruecos,36910560,20,22,21,35
67e21472c29aa80afae47ea1,América,Colombia,50882891,20,60,34,25
67e2130bc29aa80afae47e7d,África,Costa de Marfil,26378274,20,30,7,31
67e211ddc29aa80afae47e56,Europa,Luxembourg,634814,20.52,46.44,10.8,17.28
67e2130bc29aa80afae47e6d,África,Sudáfrica,59308690,21,20,25,43
67e213cec29aa80afae47e91,Asia,Arabia Saudita,34813871,22,43,19,22
67e211ddc29aa80afae47e62,Europa,San Marino,33938,22.68,41.04,14.04,20.52
67e211ddc29aa80afae47e58,Europa,Moldova,2640438,22.68,33.48,4.32,18.36
67e21472c29aa80afae47e97,América,Estados Unidos,331002651,23,43,19,21
67e213cec29aa80afae47e90,Asia,Uzbekistán,33469203,23,54,18,22
67e2130bc29aa80afae47e76,África,Senegal,16743927,23,36,30,32
67e213cec29aa80afae47e88,Asia,Tailandia,69799978,24,22,30,59
67e213cec29aa80afae47e86,Asia,Corea del Sur,51269185,24,28,14,18
67e211ddc29aa80afae47e48,Europa,Denmark,5831404,24.84,34.56,4.32,14.04
67e211ddc29aa80afae47e47,Europa,Czech Republic,10708981,24.84,37.8,12.96,17.28
67e211ddc29aa80afae47e65,Europa,Slovenia,2100126,24.84,52.92,7.56,32.4
67e211ddc29aa80afae47e6a,Europa,United Kingdom,67215293,24.84,52.92,11.88,25.92
67e211ddc29aa80afae47e3f,Europa,Andorra,79824,24.84,27,4.32,31.32
67e213cec29aa80afae47e8b,Asia,Malasia,32365999,25,23,29,58
67e211ddc29aa80afae47e68,Europa,Switzerland,8654622,25.92,33.48,9.72,10.8
67e213cec29aa80afae47e94,Asia,Jordania,10203134,26,48,13,53
67e2130bc29aa80afae47e6f,África,Egipto,102334404,26,10,29,33
67e21472c29aa80afae47ea7,América,Uruguay,3473730,27,44,42,59
67e2130bc29aa80afae47e6e,África,Nigeria,206139589,28,22,15,28
67e213cec29aa80afae47e83,Asia,China,1402112000,28,30,21,63
67e2130bc29aa80afae47e7e,África,Malí,20250833,28,38,24,28
